"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","repeated chars","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","7512","Why Multibank option is clickable","webkit","Fri Dec 05 19:59:36 GMT+04:00 2025","passed","Fri Dec 05 19:59:44 GMT+04:00 2025","Content Validation Tests > About Us - Why Multibank","contentValidation.spec.ts","",""
"","4387","all main menu items are visible and clickable","webkit","Fri Dec 05 19:59:44 GMT+04:00 2025","passed","Fri Dec 05 19:59:48 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","3","order of appearance","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","2063","Markets link navigates to markets page","chromium","Fri Dec 05 19:58:03 GMT+04:00 2025","passed","Fri Dec 05 19:58:05 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","2219","Spot link navigates to spot page","firefox","Fri Dec 05 19:58:44 GMT+04:00 2025","passed","Fri Dec 05 19:58:47 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","7","hello world","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","2869","Category tabs filter trading pairs","chromium","Fri Dec 05 19:58:13 GMT+04:00 2025","passed","Fri Dec 05 19:58:15 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","4521","Category tabs filter trading pairs","firefox","Fri Dec 05 19:58:53 GMT+04:00 2025","passed","Fri Dec 05 19:58:58 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","6","special characters","chromium","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","4","hello world","firefox","Fri Dec 05 19:59:10 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","2346","Trading pairs table displays correct columns","firefox","Fri Dec 05 19:58:49 GMT+04:00 2025","passed","Fri Dec 05 19:58:51 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","6145","Why Multibank option is clickable","chromium","Fri Dec 05 19:57:55 GMT+04:00 2025","passed","Fri Dec 05 19:58:01 GMT+04:00 2025","Content Validation Tests > About Us - Why Multibank","contentValidation.spec.ts","",""
"","3670","Marketing banner appear at page bottom","chromium","Fri Dec 05 19:57:42 GMT+04:00 2025","passed","Fri Dec 05 19:57:46 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
"","4027","Marketing banner appear at page bottom","firefox","Fri Dec 05 19:58:21 GMT+04:00 2025","passed","Fri Dec 05 19:58:25 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
"","1464","Trading pair data structure is correct","chromium","Fri Dec 05 19:58:19 GMT+04:00 2025","passed","Fri Dec 05 19:58:21 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","5016","Download section title is visible","webkit","Fri Dec 05 19:59:21 GMT+04:00 2025","passed","Fri Dec 05 19:59:26 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","5119","Google Play link is visible and correct","webkit","Fri Dec 05 19:59:31 GMT+04:00 2025","passed","Fri Dec 05 19:59:36 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","5079","App Store link is visible and correct","webkit","Fri Dec 05 19:59:26 GMT+04:00 2025","passed","Fri Dec 05 19:59:31 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","1823","all main menu items are visible and clickable","chromium","Fri Dec 05 19:58:01 GMT+04:00 2025","passed","Fri Dec 05 19:58:03 GMT+04:00 2025","Navigation & Layout Tests","navigation.spec.ts","",""
"","1611","Trading pair data structure is correct","firefox","Fri Dec 05 19:59:08 GMT+04:00 2025","passed","Fri Dec 05 19:59:10 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","3","single char","webkit","Fri Dec 05 20:00:28 GMT+04:00 2025","passed","Fri Dec 05 20:00:28 GMT+04:00 2025","String Char Frequency Tests","stringFrequency.spec.ts","",""
"","1586","Trading pairs table displays data","chromium","Fri Dec 05 19:58:11 GMT+04:00 2025","passed","Fri Dec 05 19:58:13 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","4466","Spot section title and categories are visible","webkit","Fri Dec 05 19:59:59 GMT+04:00 2025","passed","Fri Dec 05 20:00:03 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","3262","Marketing banner contains expected content","firefox","Fri Dec 05 19:58:25 GMT+04:00 2025","passed","Fri Dec 05 19:58:28 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
"","1725","Spot section title and categories are visible","chromium","Fri Dec 05 19:58:08 GMT+04:00 2025","passed","Fri Dec 05 19:58:09 GMT+04:00 2025","Spot Trading Section Tests","spotSection.spec.ts","",""
"","3279","Download section title is visible","firefox","Fri Dec 05 19:58:28 GMT+04:00 2025","passed","Fri Dec 05 19:58:32 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","1915","App Store link is visible and correct","firefox","Fri Dec 05 19:58:32 GMT+04:00 2025","passed","Fri Dec 05 19:58:33 GMT+04:00 2025","Content Validation Tests > Homepage - Download Section","contentValidation.spec.ts","",""
"","1469","Marketing banner contains expected content","chromium","Fri Dec 05 19:57:46 GMT+04:00 2025","passed","Fri Dec 05 19:57:47 GMT+04:00 2025","Content Validation Tests > Homepage - Marketing Banners","contentValidation.spec.ts","",""
